# Exhaust valve lift profile
#CAD    m
0.000000  0.000000
128.740000  0.000000
129.668353  0.000228
130.596706  0.000260
131.525059  0.000294
132.453412  0.000331
133.381765  0.000371
134.310118  0.000414
135.238471  0.000461
136.166824  0.000509
137.095176  0.000564
138.023529  0.000618
138.951882  0.000680
139.880235  0.000741
140.808588  0.000809
141.736941  0.000877
142.665294  0.000950
143.593647  0.001025
144.522000  0.001104
145.450353  0.001185
146.378706  0.001269
147.307059  0.001357
148.235412  0.001445
149.163765  0.001538
150.092118  0.001631
151.020471  0.001728
151.948824  0.001825
152.877176  0.001926
153.805529  0.002027
154.733882  0.002131
155.662235  0.002236
156.590588  0.002342
157.518941  0.002449
158.447294  0.002557
159.375647  0.002666
160.304000  0.002776
161.232353  0.002887
162.160706  0.002997
163.089059  0.003109
164.017412  0.003220
164.945765  0.003332
165.874118  0.003444
166.802471  0.003556
167.730824  0.003667
168.659176  0.003779
169.587529  0.003890
170.515882  0.004001
171.444235  0.004111
172.372588  0.004221
173.300941  0.004330
174.229294  0.004438
175.157647  0.004546
176.086000  0.004653
177.014353  0.004759
177.942706  0.004864
178.871059  0.004968
179.799412  0.005072
180.727765  0.005173
181.656118  0.005275
182.584471  0.005375
183.512824  0.005474
184.441176  0.005571
185.369529  0.005668
186.297882  0.005764
187.226235  0.005857
188.154588  0.005951
189.082941  0.006042
190.011294  0.006133
190.939647  0.006221
191.868000  0.006310
192.796353  0.006395
193.724706  0.006481
194.653059  0.006564
195.581412  0.006647
196.509765  0.006727
197.438118  0.006807
198.366471  0.006885
199.294824  0.006961
200.223176  0.007037
201.151529  0.007110
202.079882  0.007183
203.008235  0.007253
203.936588  0.007324
204.864941  0.007391
205.793294  0.007458
206.721647  0.007522
207.650000  0.007586
208.578353  0.007648
209.506706  0.007709
210.435059  0.007768
211.363412  0.007825
212.291765  0.007882
213.220118  0.007936
214.148471  0.007989
215.076824  0.008040
216.005176  0.008091
216.933529  0.008139
217.861882  0.008187
218.790235  0.008232
219.718588  0.008276
220.646941  0.008318
221.575294  0.008359
222.503647  0.008399
223.432000  0.008437
224.360353  0.008473
225.288706  0.008508
226.217059  0.008542
227.145412  0.008573
228.073765  0.008604
229.002118  0.008632
229.930471  0.008660
230.858824  0.008685
231.787176  0.008710
232.715529  0.008732
233.643882  0.008754
234.572235  0.008773
235.500588  0.008791
236.428941  0.008808
237.357294  0.008823
238.285647  0.008837
239.214000  0.008848
240.142353  0.008859
241.070706  0.008868
241.999059  0.008876
242.927412  0.008881
243.855765  0.008886
244.784118  0.008888
245.712471  0.008889
246.640824  0.008889
247.569176  0.008887
248.497529  0.008884
249.425882  0.008879
250.354235  0.008873
251.282588  0.008864
252.210941  0.008855
253.139294  0.008844
254.067647  0.008832
254.996000  0.008817
255.924353  0.008802
256.852706  0.008784
257.781059  0.008766
258.709412  0.008746
259.637765  0.008724
260.566118  0.008701
261.494471  0.008676
262.422824  0.008650
263.351176  0.008622
264.279529  0.008593
265.207882  0.008561
266.136235  0.008530
267.064588  0.008495
267.992941  0.008460
268.921294  0.008422
269.849647  0.008384
270.778000  0.008344
271.706353  0.008303
272.634706  0.008259
273.563059  0.008215
274.491412  0.008169
275.419765  0.008121
276.348118  0.008072
277.276471  0.008021
278.204824  0.007969
279.133176  0.007915
280.061529  0.007861
280.989882  0.007803
281.918235  0.007746
282.846588  0.007686
283.774941  0.007625
284.703294  0.007562
285.631647  0.007498
286.560000  0.007432
287.488353  0.007365
288.416706  0.007297
289.345059  0.007227
290.273412  0.007156
291.201765  0.007083
292.130118  0.007009
293.058471  0.006933
293.986824  0.006856
294.915176  0.006777
295.843529  0.006698
296.771882  0.006616
297.700235  0.006533
298.628588  0.006449
299.556941  0.006364
300.485294  0.006277
301.413647  0.006189
302.342000  0.006099
303.270353  0.006008
304.198706  0.005917
305.127059  0.005823
306.055412  0.005729
306.983765  0.005633
307.912118  0.005536
308.840471  0.005438
309.768824  0.005339
310.697176  0.005238
311.625529  0.005137
312.553882  0.005034
313.482235  0.004931
314.410588  0.004826
315.338941  0.004721
316.267294  0.004615
317.195647  0.004508
318.124000  0.004400
319.052353  0.004292
319.980706  0.004183
320.909059  0.004073
321.837412  0.003963
322.765765  0.003852
323.694118  0.003741
324.622471  0.003630
325.550824  0.003519
326.479176  0.003407
327.407529  0.003296
328.335882  0.003184
329.264235  0.003073
330.192588  0.002962
331.120941  0.002852
332.049294  0.002742
332.977647  0.002634
333.906000  0.002525
334.834353  0.002418
335.762706  0.002312
336.691059  0.002207
337.619412  0.002104
338.547765  0.002002
339.476118  0.001901
340.404471  0.001803
341.332824  0.001707
342.261176  0.001612
343.189529  0.001520
344.117882  0.001429
345.046235  0.001343
345.974588  0.001257
346.902941  0.001177
347.831294  0.001097
348.759647  0.001022
349.688000  0.000948
350.616353  0.000879
351.544706  0.000812
352.473059  0.000749
353.401412  0.000689
354.329765  0.000632
355.258118  0.000580
356.186471  0.000529
357.114824  0.000484
358.043176  0.000439
358.971529  0.000400
359.899882  0.000362
360.828235  0.000329
361.756588  0.000298
362.684941  0.000270
363.613294  0.000244
364.541647  0.000221
365.470000  0.000200
720.000000  0.000000
