#Time vs Intake Pressure
#CAD   Pa   bar
-360.000 96070.278 0.961
-359.500 96051.840 0.961
-359.000 96042.836 0.960
-358.500 96008.086 0.960
-358.000 95981.232 0.960
-357.500 95935.085 0.959
-357.000 95880.694 0.959
-356.500 95811.810 0.958
-356.000 95746.757 0.957
-355.500 95668.379 0.957
-355.000 95580.441 0.956
-354.500 95480.318 0.955
-354.000 95357.293 0.954
-353.500 95232.301 0.952
-353.000 95078.751 0.951
-352.500 94902.095 0.949
-352.000 94687.627 0.947
-351.500 94463.071 0.945
-351.000 94199.808 0.942
-350.500 93916.257 0.939
-350.000 93579.034 0.936
-349.500 93244.457 0.932
-349.000 92946.435 0.929
-348.500 92772.300 0.928
-348.000 92624.278 0.926
-347.500 92514.449 0.925
-347.000 92446.944 0.924
-346.500 92414.768 0.924
-346.000 92401.724 0.924
-345.500 92437.535 0.924
-345.000 92537.134 0.925
-344.500 92647.844 0.926
-344.000 92808.428 0.928
-343.500 92973.800 0.930
-343.000 93130.295 0.931
-342.500 93227.510 0.932
-342.000 93308.754 0.933
-341.500 93390.519 0.934
-341.000 93514.326 0.935
-340.500 93654.193 0.937
-340.000 93804.311 0.938
-339.500 93905.819 0.939
-339.000 93993.635 0.940
-338.500 94093.614 0.941
-338.000 94213.220 0.942
-337.500 94305.672 0.943
-337.000 94416.360 0.944
-336.500 94496.235 0.945
-336.000 94563.290 0.946
-335.500 94625.152 0.946
-335.000 94696.065 0.947
-334.500 94724.957 0.947
-334.000 94742.871 0.947
-333.500 94772.391 0.948
-333.000 94811.505 0.948
-332.500 94829.952 0.948
-332.000 94829.084 0.948
-331.500 94787.234 0.948
-331.000 94747.928 0.947
-330.500 94708.605 0.947
-330.000 94675.555 0.947
-329.500 94621.445 0.946
-329.000 94561.404 0.946
-328.500 94498.541 0.945
-328.000 94425.001 0.944
-327.500 94356.941 0.944
-327.000 94290.843 0.943
-326.500 94218.971 0.942
-326.000 94157.164 0.942
-325.500 94095.914 0.941
-325.000 94046.241 0.940
-324.500 93982.023 0.940
-324.000 93917.002 0.939
-323.500 93856.111 0.939
-323.000 93785.963 0.938
-322.500 93744.125 0.937
-322.000 93676.101 0.937
-321.500 93603.203 0.936
-321.000 93538.962 0.935
-320.500 93492.843 0.935
-320.000 93451.507 0.935
-319.500 93414.982 0.934
-319.000 93373.716 0.934
-318.500 93329.183 0.933
-318.000 93295.079 0.933
-317.500 93267.134 0.933
-317.000 93236.738 0.932
-316.500 93221.050 0.932
-316.000 93196.589 0.932
-315.500 93168.418 0.932
-315.000 93155.115 0.932
-314.500 93155.098 0.932
-314.000 93122.118 0.931
-313.500 93099.014 0.931
-313.000 93079.197 0.931
-312.500 93061.997 0.931
-312.000 93061.619 0.931
-311.500 93054.870 0.931
